Year,Location,Site,Depth,Transect,Interval,Genus,Species epithet,Species,Abundance,Size est.,Match,Family,a,b,Biomass,Trophic group
2016,Apo Reef,Aladin,11,1,5,Gomphosus,varius,Gomphosus varius,2,8,496,Labridae,0.00676,2.96,6.37,Benthic Invertivore
2016,Apo Reef,Aladin,11,1,5,Chaetodon,rafflesi,Chaetodon rafflesi,2,6,254,Chaetodontidae,0.02239,3.01,9.85,Corallivore
2016,Apo Reef,Aladin,11,1,5,Cephalopholis,urodeta,Cephalopholis urodeta,1,3,229,Serranidae,0.02822,2.818,0.62,Piscivore
2016,Apo Reef,Aladin,11,1,5,Chromis,margaritifer,Chromis margaritifer,4,3,319,Pomacentridae,0.0182,3,1.97,Herbivore
2016,Apo Reef,Aladin,11,1,5,Chromis,viridis,Chromis viridis,4,3,330,Pomacentridae,0.0642,2.518,4.08,Herbivore
2016,Apo Reef,Aladin,11,1,5,Ctenochaetus,striatus,Ctenochaetus striatus,1,6,399,Acanthuridae,0.0137,3.083,3.43,Detritivore
2016,Apo Reef,Aladin,11,1,5,Amblyglyphidodon,leucogaster,Amblyglyphidodon leucogaster,1,5,57,Pomacentridae,0.0195,2.97,2.32,Planktivore
2016,Apo Reef,Aladin,11,1,5,Amblyglyphidodon,curacao,Amblyglyphidodon curacao,6,5,56,Pomacentridae,0.02512,3.06,20.75,Planktivore
2016,Apo Reef,Aladin,11,1,5,Macolor,macularis,Macolor macularis,1,15,629,Lutjanidae,0.01445,2.97,44.96,Piscivore
2016,Apo Reef,Aladin,11,1,5,Gomphosus,varius,Gomphosus varius,1,13,496,Labridae,0.00676,2.96,13.4,Benthic Invertivore
2016,Apo Reef,Aladin,11,1,5,Ctenochaetus,striatus,Ctenochaetus striatus,2,14,399,Acanthuridae,0.0137,3.083,93.6,Detritivore
2016,Apo Reef,Aladin,11,1,10,Zebrasoma,veliferum,Zebrasoma veliferum,2,20,1092,Acanthuridae,0.03425,2.866,366.81,Herbivore
2016,Apo Reef,Aladin,11,1,10,Chromis,margaritifer,Chromis margaritifer,3,3,319,Pomacentridae,0.0182,3,1.47,Herbivore
2016,Apo Reef,Aladin,11,1,10,Acanthurus,pyroferus,Acanthurus pyroferus,1,4,30,Acanthuridae,0.00179,3,0.11,Herbivore
2016,Apo Reef,Aladin,11,1,10,Acanthurus,japonicus,Acanthurus japonicus,1,4,20,Acanthuridae,0.02188,2.97,1.34,Herbivore
2016,Apo Reef,Aladin,11,1,10,Chromis,viridis,Chromis viridis,10,4,330,Pomacentridae,0.0642,2.518,21.06,Herbivore
2016,Apo Reef,Aladin,11,1,10,Melichthys,vidua,Melichthys vidua,1,12,646,Balistidae,0.0058,3.554,39.7,Omnivore
2016,Apo Reef,Aladin,11,1,10,Dascyllus,reticulatus,Dascyllus reticulatus,2,3,407,Pomacentridae,0.0612,2.747,2.5,Herbivore
2016,Apo Reef,Aladin,11,1,10,Acanthochromis,polyacanthus,Acanthochromis polyacanthus,10,5,12,Pomacentridae,0.02188,3.01,27.79,Planktivore
2016,Apo Reef,Aladin,11,1,10,Scarus,niger,Scarus niger,1,18,956,Scaridae,0.0316,3.09,239.04,Herbivore
2016,Apo Reef,Aladin,11,1,10,Melichthys,vidua,Melichthys vidua,1,18,646,Balistidae,0.0058,3.554,167.75,Omnivore
2016,Apo Reef,Aladin,11,1,10,Dascyllus,reticulatus,Dascyllus reticulatus,16,2,407,Pomacentridae,0.0612,2.747,6.57,Herbivore
2016,Apo Reef,Aladin,11,1,10,Amblyglyphidodon,curacao,Amblyglyphidodon curacao,1,5,56,Pomacentridae,0.02512,3.06,3.46,Planktivore
2016,Apo Reef,Aladin,11,1,10,Amblyglyphidodon,leucogaster,Amblyglyphidodon leucogaster,1,5,57,Pomacentridae,0.0195,2.97,2.32,Planktivore
2016,Apo Reef,Aladin,11,1,15,Chromis,viridis,Chromis viridis,16,3,330,Pomacentridae,0.0642,2.518,16.33,Herbivore
2016,Apo Reef,Aladin,11,1,15,Acanthurus,japonicus,Acanthurus japonicus,1,4,20,Acanthuridae,0.02188,2.97,1.34,Herbivore
2016,Apo Reef,Aladin,11,1,15,Amblyglyphidodon,curacao,Amblyglyphidodon curacao,1,4,56,Pomacentridae,0.02512,3.06,1.75,Planktivore
2016,Apo Reef,Aladin,11,1,15,Chrysiptera,talboti,Chrysiptera talboti,1,2,348,Pomacentridae,0.01479,2.99,0.12,Herbivore
2016,Apo Reef,Aladin,11,1,15,Chromis,margaritifer,Chromis margaritifer,5,3,319,Pomacentridae,0.0182,3,2.46,Herbivore
2016,Apo Reef,Aladin,11,1,15,Chromis,ternatensis,Chromis ternatensis,4,4,328,Pomacentridae,0.043,2.889,9.44,Planktivore
2016,Apo Reef,Aladin,11,1,15,Pomacentrus,brachialis,Pomacentrus brachialis,7,3,820,Pomacentridae,0.0116,3.387,3.35,Herbivore
2016,Apo Reef,Aladin,11,1,15,Abudefduf,vaigiensis,Abudefduf vaigiensis,5,4,11,Pomacentridae,0.0195,3.03,6.5,Herbivore
2016,Apo Reef,Aladin,11,1,15,Naso,vlamingii,Naso vlamingii,1,20,675,Acanthuridae,0.0497,2.839,245.46,Herbivore
2016,Apo Reef,Aladin,11,1,15,Naso,vlamingii,Naso vlamingii,1,15,675,Acanthuridae,0.0497,2.839,108.46,Herbivore
2016,Apo Reef,Aladin,11,1,15,Chaetodon,lunulatus,Chaetodon lunulatus,2,4,244,Chaetodontidae,0.02239,3.01,2.91,Corallivore
2016,Apo Reef,Aladin,11,1,15,Chromis,viridis,Chromis viridis,25,2,330,Pomacentridae,0.0642,2.518,9.19,Herbivore
2016,Apo Reef,Aladin,11,1,20,Thalassoma,amblycephalum,Thalassoma amblycephalum,24,4,1057,Labridae,0.00955,3,14.67,Planktivore
2016,Apo Reef,Aladin,11,1,20,Balistapus,undulatus,Balistapus undulatus,1,6,153,Balistidae,0.0058,3.554,3.38,Omnivore
2016,Apo Reef,Aladin,11,1,20,Chromis,xanthura,Chromis xanthura,6,5,333,Pomacentridae,0.009,2.773,4.68,Planktivore
2016,Apo Reef,Aladin,11,1,20,Scarus,globiceps,Scarus globiceps,1,15,952,Scaridae,0.0155,3,52.31,Herbivore
2016,Apo Reef,Aladin,11,1,20,Thalassoma,hardwicke,Thalassoma hardwicke,1,8,1059,Labridae,0.00977,3.04,5.44,Benthic Invertivore
2016,Apo Reef,Aladin,11,1,20,Chaetodon,baronessa,Chaetodon baronessa,1,4,236,Chaetodontidae,0.0448,2.828,2.26,Corallivore
2016,Apo Reef,Aladin,11,1,20,Amblyglyphidodon,leucogaster,Amblyglyphidodon leucogaster,1,5,57,Pomacentridae,0.0195,2.97,2.32,Planktivore
2016,Apo Reef,Aladin,11,1,20,Zanclus,cornutus,Zanclus cornutus,1,6,1088,Zanclidae,0.0147,3.37,6.16,Omnivore
2016,Apo Reef,Aladin,11,1,20,Melichthys,vidua,Melichthys vidua,1,10,646,Balistidae,0.0058,3.554,20.77,Omnivore
2016,Apo Reef,Aladin,11,1,20,Chromis,ternatensis,Chromis ternatensis,15,3,328,Pomacentridae,0.043,2.889,15.42,Planktivore
2016,Apo Reef,Aladin,11,1,20,Chromis,margaritifer,Chromis margaritifer,5,3,319,Pomacentridae,0.0182,3,2.46,Herbivore
2016,Apo Reef,Aladin,11,1,25,Thalassoma,hardwicke,Thalassoma hardwicke,1,4,1059,Labridae,0.00977,3.04,0.66,Benthic Invertivore
2016,Apo Reef,Aladin,11,1,25,Abudefduf,vaigiensis,Abudefduf vaigiensis,4,6,11,Pomacentridae,0.0195,3.03,17.78,Herbivore
2016,Apo Reef,Aladin,11,1,25,Thalassoma,amblycephalum,Thalassoma amblycephalum,10,3,1057,Labridae,0.00955,3,2.58,Planktivore
2016,Apo Reef,Aladin,11,1,25,Pomacentrus,lepidogenys,Pomacentrus lepidogenys,1,4,830,Pomacentridae,0.0215,3.21,1.84,Herbivore
2016,Apo Reef,Aladin,11,1,25,Scarus,forsteni,Scarus forsteni,1,15,949,Scaridae,0.01995,3.01,69.18,Herbivore
2016,Apo Reef,Aladin,11,1,25,Chromis,margaritifer,Chromis margaritifer,1,3,319,Pomacentridae,0.0182,3,0.49,Herbivore
2016,Apo Reef,Aladin,11,1,25,Amblyglyphidodon,curacao,Amblyglyphidodon curacao,1,4,56,Pomacentridae,0.02512,3.06,1.75,Planktivore
2016,Apo Reef,Aladin,11,1,25,Chromis,margaritifer,Chromis margaritifer,7,2,319,Pomacentridae,0.0182,3,1.02,Herbivore
2016,Apo Reef,Aladin,11,1,25,Acanthurus,pyroferus,Acanthurus pyroferus,1,16,30,Acanthuridae,0.00179,3,7.33,Herbivore
2016,Apo Reef,Aladin,11,1,25,Pomacentrus,moluccensis,Pomacentrus moluccensis,1,3,832,Pomacentridae,0.0703,2.65,1.29,Herbivore
2016,Apo Reef,Aladin,11,1,25,Pomacentrus,brachialis,Pomacentrus brachialis,9,2,820,Pomacentridae,0.0116,3.387,1.09,Herbivore
2016,Apo Reef,Aladin,11,1,25,Cephalopholis,argus,Cephalopholis argus,1,20,219,Serranidae,0.00678,3.274,123.25,Piscivore
2016,Apo Reef,Aladin,11,1,25,Zanclus,cornutus,Zanclus cornutus,3,15,1088,Zanclidae,0.0147,3.37,405.38,Omnivore
2016,Apo Reef,Aladin,11,2,5,Amblyglyphidodon,curacao,Amblyglyphidodon curacao,7,6,56,Pomacentridae,0.02512,3.06,42.29,Planktivore
2016,Apo Reef,Aladin,11,2,5,Pomacentrus,moluccensis,Pomacentrus moluccensis,2,6,832,Pomacentridae,0.0703,2.65,16.22,Herbivore
2016,Apo Reef,Aladin,11,2,5,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,1,4,795,Pomacentridae,0.02138,2.99,1.35,Herbivore
2016,Apo Reef,Aladin,11,2,5,Dascyllus,reticulatus,Dascyllus reticulatus,6,4,407,Pomacentridae,0.0612,2.747,16.55,Herbivore
2016,Apo Reef,Aladin,11,2,5,Pomacentrus,vaiuli,Pomacentrus vaiuli,1,6,847,Pomacentridae,0.0619,2.628,6.87,Herbivore
2016,Apo Reef,Aladin,11,2,5,Pseudanthias,huchtii,Pseudanthias huchtii,2,8,867,Serranidae,0.0127,3.085,15.52,Planktivore
2016,Apo Reef,Aladin,11,2,5,Gomphosus,varius,Gomphosus varius,1,12,496,Labridae,0.00676,2.96,10.58,Benthic Invertivore
2016,Apo Reef,Aladin,11,2,5,Ctenochaetus,striatus,Ctenochaetus striatus,1,12,399,Acanthuridae,0.0137,3.083,29.1,Detritivore
2016,Apo Reef,Aladin,11,2,5,Chromis,margaritifer,Chromis margaritifer,1,10,319,Pomacentridae,0.0182,3,18.2,Herbivore
2016,Apo Reef,Aladin,11,2,5,Thalassoma,hardwicke,Thalassoma hardwicke,1,8,1059,Labridae,0.00977,3.04,5.44,Benthic Invertivore
2016,Apo Reef,Aladin,11,2,5,Centropyge,vrolikii,Centropyge vrolikii,1,10,218,Pomacanthidae,0.0302,2.89,23.44,Corallivore
2016,Apo Reef,Aladin,11,2,5,Chaetodon,baronessa,Chaetodon baronessa,1,8,236,Chaetodontidae,0.0448,2.828,16.04,Corallivore
