Site,Orientation,Rep,BT,CCA,TA,SED,EFA,FMA,ASC,BRYO,SPO
Tomasa,Bottom,1,0.0,31.8,0.0,54.5,0.0,0.0,0.0,0.0,0.0
Tomasa,Bottom,2,0.0,8.3,91.7,0.0,0.0,0.0,0.0,0.0,0.0
Tomasa,Bottom,3,0.0,4.2,95.8,0.0,0.0,0.0,0.0,0.0,0.0
Tomasa,Bottom,4,4.5,22.7,27.3,36.4,0.0,0.0,0.0,4.5,0.0
Tomasa,Bottom,5,8.7,4.3,26.1,43.5,0.0,0.0,0.0,0.0,0.0
Tomasa,Bottom,6,4.3,0.0,82.6,0.0,0.0,0.0,0.0,0.0,0.0
Tomasa,Bottom,7,12.5,0.0,45.8,4.2,16.7,0.0,0.0,12.5,8.3
Tomasa,Bottom,8,54.5,9.1,0.0,0.0,13.6,0.0,0.0,0.0,0.0
Tomasa,Bottom,9,10.6,10.1,46.2,17.3,3.8,0.0,0.0,2.1,1.0
Tomasa,Bottom,10,11.9,7.3,51.9,12.7,4.3,0.0,0.0,2.4,1.2
Tomasa,Top,1,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0
Tomasa,Top,2,24.0,0.0,64.0,4.0,0.0,0.0,0.0,0.0,0.0
Tomasa,Top,3,4.2,4.2,66.7,8.3,0.0,0.0,0.0,8.3,0.0
Tomasa,Top,4,26.1,4.3,65.2,0.0,0.0,0.0,0.0,4.3,0.0
Tomasa,Top,5,21.7,0.0,65.2,0.0,0.0,0.0,0.0,4.3,0.0
Tomasa,Top,6,47.8,0.0,47.8,0.0,0.0,0.0,0.0,4.3,0.0
Tomasa,Top,7,50.0,4.5,45.5,0.0,0.0,0.0,0.0,0.0,0.0
Tomasa,Top,8,20.8,16.7,41.7,0.0,0.0,0.0,0.0,4.2,0.0
Tomasa,Top,9,24.3,3.7,49.5,12.0,0.0,0.0,0.0,3.2,0.0
Tomasa,Top,10,27.4,4.2,55.7,3.0,0.0,0.0,0.0,3.6,0.0
Lucero,Bottom,1,71.4,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0
Lucero,Bottom,2,94.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucero,Bottom,3,78.6,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0
Lucero,Bottom,4,64.7,5.9,0.0,11.8,0.0,0.0,0.0,0.0,0.0
Lucero,Bottom,5,70.6,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0
Lucero,Bottom,6,92.9,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0
Lucero,Bottom,7,64.3,0.0,0.0,14.3,0.0,0.0,0.0,21.4,0.0
Lucero,Bottom,8,68.8,0.0,0.0,12.5,0.0,0.0,0.0,6.3,0.0
Lucero,Bottom,9,93.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucero,Bottom,10,60.0,0.0,0.0,30.0,0.0,0.0,0.0,5.0,0.0
Lucero,Top,1,23.5,0.0,0.0,11.8,0.0,0.0,0.0,11.8,0.0
Lucero,Top,2,45.0,5.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
Lucero,Top,3,43.8,6.3,0.0,25.0,6.3,0.0,0.0,6.3,0.0
Lucero,Top,4,29.4,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0
Lucero,Top,5,82.4,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0
Lucero,Top,6,52.6,0.0,0.0,10.5,0.0,0.0,0.0,15.8,0.0
Lucero,Top,7,50.0,0.0,0.0,12.5,0.0,0.0,0.0,25.0,0.0
Lucero,Top,8,52.6,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucero,Top,9,62.5,0.0,0.0,18.8,0.0,0.0,0.0,6.3,0.0
Lucero,Top,10,61.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malilnep,Bottom,1,47.4,47.4,0.0,5.3,0.0,0.0,0.0,0.0,0.0
Malilnep,Bottom,2,68.8,18.8,0.0,0.0,0.0,0.0,0.0,12.5,0.0
Malilnep,Bottom,3,64.7,11.8,0.0,5.9,0.0,0.0,5.9,5.9,0.0
Malilnep,Bottom,4,71.4,14.3,0.0,0.0,0.0,14.3,0.0,0.0,0.0
Malilnep,Bottom,5,68.4,15.8,10.5,0.0,0.0,0.0,0.0,0.0,0.0
Malilnep,Bottom,6,82.4,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0
Malilnep,Bottom,7,73.7,0.0,5.3,5.3,0.0,0.0,0.0,5.3,0.0
Malilnep,Bottom,8,68.8,6.3,0.0,6.3,0.0,0.0,0.0,12.5,0.0
Malilnep,Bottom,9,77.8,16.7,0.0,0.0,5.6,0.0,0.0,0.0,0.0
Malilnep,Bottom,10,73.3,13.3,0.0,6.7,0.0,0.0,0.0,0.0,0.0
Malilnep,Top,1,72.7,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malilnep,Top,2,33.3,38.1,4.8,4.8,4.8,0.0,4.8,4.8,0.0
Malilnep,Top,3,22.7,22.7,36.4,9.1,0.0,0.0,4.5,0.0,0.0
Malilnep,Top,4,0.0,9.5,47.6,14.3,4.8,0.0,0.0,23.8,0.0
Malilnep,Top,5,0.0,25.0,45.8,0.0,4.2,0.0,0.0,4.2,0.0
Malilnep,Top,6,4.3,4.3,56.5,13.0,0.0,0.0,4.3,13.0,0.0
Malilnep,Top,7,8.3,8.3,58.3,4.2,0.0,0.0,0.0,0.0,4.2
Malilnep,Top,8,52.2,8.7,34.8,0.0,0.0,0.0,0.0,4.3,0.0
Malilnep,Top,9,12.5,8.3,54.2,20.8,0.0,0.0,0.0,0.0,0.0
Malilnep,Top,10,20.0,24.0,40.0,12.0,0.0,0.0,0.0,0.0,0.0
