Site,Sample ID,Ammonia,Nitrite,Nitrate,Phosphate,Silicate
Tomasa,PCC-19,4.941,0.164,2.721,0.823,11.056
Tomasa,PCC-20,4.512,0.127,3.294,0.654,9.715
Tomasa,PCC-21,5.185,0.094,1.939,0.7,13.108
Tomasa,PCC-22,8.305,0.177,2.21,0.848,13.378
Tomasa,PCC-23,4.993,0.162,2.321,0.792,10.102
Tomasa,PCC-24,4.12,0.153,2.908,0.669,6.429
Lucero,PCC-25,6.59,0.12,1.518,0.537,12.838
Lucero,PCC-26,7.928,0.151,1.424,0.521,22.308
Lucero,PCC-27,3.714,0.123,0.758,0.593,9.499
Lucero,PCC-28,5.311,0.101,2.139,0.572,10.381
Lucero,PCC-29,3.322,0.086,2.317,0.547,6.177
Lucero,PCC-30,4.179,0.053,2.21,0.424,7.023
Malilnep,PCC-31,3.403,0.086,3.219,0.567,8.329
Malilnep,PCC-32,3.677,0.138,2.894,0.46,5.88
Malilnep,PCC-33,5.547,0.103,2.019,0.557,9.238
Malilnep,PCC-34,2.945,0.114,1.762,0.521,6.735
Malilnep,PCC-35,5.503,0.129,1.016,0.521,21.11
Malilnep,PCC-36,4.823,0.162,1.815,0.572,14.99
