Site,Depth,Record,Date,Time,Licor sensor,Unit measurement,PPFFR
Arnedo,10m,0,20/08/2024,52:41.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,588.94
Arnedo,10m,1,20/08/2024,52:46.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,603.22
Arnedo,10m,2,20/08/2024,52:51.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,573.55
Arnedo,10m,3,20/08/2024,52:56.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,589.36
Arnedo,10m,4,20/08/2024,53:01.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,572.75
Arnedo,10m,5,20/08/2024,53:06.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,576.95
Arnedo,10m,6,20/08/2024,53:11.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,566.46
Arnedo,10m,7,20/08/2024,53:16.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,588.25
Arnedo,10m,8,20/08/2024,53:21.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,583.43
Arnedo,10m,9,20/08/2024,53:26.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,593.19
Arnedo,10m,10,20/08/2024,53:31.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,534.27
Arnedo,10m,11,20/08/2024,53:36.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,579.51
Arnedo,10m,12,20/08/2024,53:41.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,577.33
Arnedo,10m,13,20/08/2024,53:46.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,515.8
Arnedo,10m,14,20/08/2024,53:51.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,530.81
Arnedo,10m,15,20/08/2024,53:56.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,532.04
Arnedo,10m,16,20/08/2024,54:01.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,559.07
Arnedo,10m,17,20/08/2024,54:06.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,520.74
Arnedo,10m,18,20/08/2024,54:11.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,555.36
Arnedo,10m,19,20/08/2024,54:16.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,497.13
Arnedo,10m,20,20/08/2024,54:21.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,567.49
Arnedo,10m,21,20/08/2024,54:26.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,515.67
Arnedo,10m,22,20/08/2024,54:31.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,423.04
Arnedo,10m,23,20/08/2024,54:36.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,389.76
Arnedo,10m,24,20/08/2024,54:41.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,384.31
Arnedo,10m,25,20/08/2024,54:46.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,386.79
Arnedo,10m,26,20/08/2024,54:51.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,357.39
Arnedo,10m,27,20/08/2024,54:56.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,354.43
