Date,Species,Larvae,Weight.g,Individual,Initial,Survivorship,Mortality,Time
3-Apr-18,cur,millepora,15,cur 1,100,10,90,Day
3-Apr-18,cur,millepora,24,cur 2,100,4,96,Day
3-Apr-18,cur,millepora,25,cur 3,100,7,93,Day
3-Apr-18,cur,millepora,28,cur 4,100,6,94,Day
3-Apr-18,cur,millepora,41,cur 6,100,3,97,Day
3-Apr-18,cur,millepora,43,cur 7,100,3,97,Day
3-Apr-18,cur,millepora,44,cur 8,100,17,83,Day
3-Apr-18,cur,millepora,46,cur 10,100,10,90,Day
3-Apr-18,cur,millepora,46,cur 10,100,4,96,Day
3-Apr-18,cur,millepora,50,cur 13,100,6,94,Day
3-Apr-18,ret,millepora,8,ret 1,100,8,92,Day
3-Apr-18,ret,millepora,10,ret 2,100,4,96,Day
3-Apr-18,ret,millepora,10,ret 2,100,1,99,Day
3-Apr-18,ret,millepora,13,ret 3,100,10,90,Day
3-Apr-18,ret,millepora,14,ret 4,100,8,92,Day
3-Apr-18,ret,millepora,14,ret 4,100,1,99,Day
3-Apr-18,ret,millepora,15,ret 5,100,0,100,Day
3-Apr-18,ret,millepora,15,ret 5,100,23,77,Day
3-Apr-18,ret,millepora,18,ret 6,100,36,64,Day
3-Apr-18,ret,millepora,35,ret 13,100,3,97,Day
3-Apr-18,sex,millepora,44,sex 3,100,6,94,Day
3-Apr-18,sex,millepora,44,sex 3,100,35,65,Day
3-Apr-18,sex,millepora,45,sex 4,100,2,98,Day
3-Apr-18,sex,millepora,48,sex 5,100,0,100,Day
3-Apr-18,sex,millepora,49,sex 6,100,22,78,Day
3-Apr-18,sex,millepora,49,sex 6,100,3,97,Day
3-Apr-18,sex,millepora,51,sex 8,100,0,100,Day
3-Apr-18,sex,millepora,55,sex 9,100,22,78,Day
3-Apr-18,sex,millepora,55,sex 9,100,1,99,Day
3-Apr-18,tri,millepora,38,tri 3,100,11,89,Day
3-Apr-18,tri,millepora,38,tri 3,100,23,77,Day
3-Apr-18,tri,millepora,43,tri 4,100,54,46,Day
3-Apr-18,tri,millepora,45,tri 5,100,30,70,Day
4-Apr-18,tri,millepora,38,tri 3,100,18,82,Day
4-Apr-18,tri,millepora,38,tri 3,100,19,81,Day
4-Apr-18,tri,millepora,43,tri 4,100,10,90,Day
4-Apr-18,tri,millepora,45,tri 5,100,44,56,Day
5-Apr-18,tri,millepora,43,tri 4,100,6,94,Day
5-Apr-18,tri,millepora,45,tri 5,100,6,94,Day
3-Apr-18,viri,millepora,9,viri 2,100,4,96,Day
3-Apr-18,viri,millepora,11,viri 3,100,0,100,Day
3-Apr-18,viri,millepora,20,viri 5,100,3,97,Day
4-Apr-18,viri,millepora,9,viri 2,100,2,98,Day
4-Apr-18,viri,millepora,11,viri 3,100,3,97,Day
4-Apr-18,viri,millepora,20,viri 5,100,0,100,Day
5-Apr-18,viri,millepora,9,viri 2,100,1,99,Day
5-Apr-18,viri,millepora,11,viri 3,100,3,97,Day
5-Apr-18,viri,millepora,20,viri 5,100,8,92,Day
6-Apr-18,viri,millepora,9,viri 2,100,7,93,Day
4-May-18,cur,tenius,,cur 1,100,53,47,Night
4-May-18,cur,tenius,,cur 2,100,35,65,Night
4-May-18,cur,tenius,,cur 3,100,79,21,Night
4-May-18,cur,tenius,,cur 4,100,22,78,Night
4-May-18,cur,tenius,,cur 5,100,84,16,Night
4-May-18,cur,tenius,,cur 6,100,15,85,Night
4-May-18,cur,tenius,,cur 7,100,52,48,Night
4-May-18,cur,tenius,,cur 8,100,91,9,Night
4-May-18,cur,tenius,,cur 9,100,29,71,Night
4-May-18,cur,tenius,,cur 10,100,60,40,Night
6-May-18,ret,tenius,,ret 1,100,76,24,Night
6-May-18,ret,tenius,,ret 2,100,54,46,Night
6-May-18,ret,tenius,,ret 3,100,61,39,Night
7-May-18,ret,tenius,,ret 1,100,64,36,Night
7-May-18,ret,tenius,,ret 2,100,20,80,Night
7-May-18,ret,tenius,,ret 3,100,34,66,Night
7-May-18,ret,tenius,,ret 4,100,73,27,Night
7-May-18,ret,tenius,,ret 5,100,87,13,Night
7-May-18,ret,tenius,,ret 6,100,67,33,Night
7-May-18,ret,tenius,,ret 7,100,60,40,Night
4-May-18,sex,tenius,,sex 1,100,48,52,Night
4-May-18,sex,tenius,,sex 2,100,18,82,Night
4-May-18,sex,tenius,,sex 3,100,78,22,Night
4-May-18,sex,tenius,,sex 4,100,47,53,Night
4-May-18,sex,tenius,,sex 5,100,96,4,Night
4-May-18,sex,tenius,,sex 6,100,72,28,Night
4-May-18,sex,tenius,,sex 7,100,70,30,Night
4-May-18,sex,tenius,,sex 8,100,52,48,Night
4-May-18,sex,tenius,,sex 9,100,31,69,Night
4-May-18,sex,tenius,,sex 10,100,27,73,Night
4-May-18,tri,tenius,,tri 1,100,78,22,Night
4-May-18,tri,tenius,,tri 2,100,100,0,Night
4-May-18,tri,tenius,,tri 3,100,51,49,Night
4-May-18,tri,tenius,,tri 4,100,61,39,Night
4-May-18,tri,tenius,,tri 5,100,52,48,Night
4-May-18,tri,tenius,,tri 6,100,100,0,Night
4-May-18,tri,tenius,,tri 7,100,60,40,Night
4-May-18,tri,tenius,,tri 8,100,75,25,Night
4-May-18,tri,tenius,,tri 9,100,48,52,Night
4-May-18,tri,tenius,,tri 10,100,34,66,Night
7-May-18,viri,tenius,,viri 1,100,27,73,Night
7-May-18,viri,tenius,,viri 2,100,58,42,Night
7-May-18,viri,tenius,,viri 3,100,99,1,Night
7-May-18,viri,tenius,,viri 4,100,65,35,Night
7-May-18,viri,tenius,,viri 5,100,9,91,Night
7-May-18,viri,tenius,,viri 6,100,66,34,Night
7-May-18,viri,tenius,,viri 7,100,53,47,Night
7-May-18,viri,tenius,,viri 8,100,92,8,Night
7-May-18,viri,tenius,,viri 9,100,99,1,Night
7-May-18,viri,tenius,,viri 10,100,77,23,Night
6-Apr-18,cur,heliopora,15,cur 1,100,44,56,Day
6-Apr-18,cur,heliopora,25,cur 3,100,24,76,Day
6-Apr-18,cur,heliopora,28,cur 4,100,10,90,Day
6-Apr-18,cur,heliopora,32,cur 5,100,32,68,Day
6-Apr-18,cur,heliopora,44,cur 8,100,89,11,Day
6-Apr-18,cur,heliopora,45,cur 9,100,59,41,Day
6-Apr-18,cur,heliopora,46,cur 10,100,50,50,Day
6-Apr-18,cur,heliopora,47,cur 11,100,32,68,Day
6-Apr-18,cur,heliopora,49,cur 12,100,39,61,Day
6-Apr-18,cur,heliopora,50,cur 13,100,76,24,Day
6-Apr-18,ret,heliopora,20,ret 7,100,65,35,Day
6-Apr-18,ret,heliopora,22,ret 8,100,42,58,Day
6-Apr-18,ret,heliopora,23,ret 9,100,56,44,Day
6-Apr-18,ret,heliopora,23,ret 9,100,63,37,Day
