Coral_size,Tile_number,Fish_species,Fish_ind,Nubbins_start,Nubbins_end
0.5,T1,Siganus fuscescens,SF1,10,10
0.5,T1,Chaetodon lunulatus,CL1,10,10
0.5,T2,Chaetodon lunulatus,CL2,10,9
0.5,T3,Chaetodon lunulatus,CL3,10,10
0.5,T4,Chaetodon lunulatus,CL4,10,10
0.5,T2,Siganus fuscescens,SF2,10,10
0.5,T3,Siganus fuscescens,SF3,8,4
0.5,T1,Chlorurus sordidus,CS1,10,5
0.5,T2,Chlorurus sordidus,CS2,10,10
0.5,T3,Chlorurus sordidus,CS3,10,3
0.5,T4,Chlorurus sordidus,CS4,10,3
0.5,T5,Chlorurus sordidus,CS5,10,4
0.5,T4,Siganus fuscescens,SF4,10,10
0.5,T5,Siganus fuscescens,SF5,10,5
0.5,T5,Chaetodon lunulatus,CL5,10,8
0.5,T6,Chlorurus sordidus,CS6,10,5
0.5,T7,Chlorurus sordidus,CS7,9,7
0.5,T8,Chlorurus sordidus,CS8,10,9
0.5,T1,Chaetodon kleinii,CK1,10,10
0.5,T2,Chaetodon kleinii,CK2,10,10
0.5,T3,Chaetodon kleinii,CK3,10,10
0.5,T4,Chaetodon kleinii,CK4,10,10
0.5,T5,Chaetodon kleinii,CK5,10,10
0.5,T6,Chaetodon kleinii,CK6,10,10
0.5,T7,Chaetodon kleinii,CK7,10,10
0.5,T8,Chaetodon kleinii,CK8,10,10
0.5,T6,Siganus fuscescens,SF6,10,10
0.5,T7,Siganus fuscescens,SF7,10,10
0.5,T8,Siganus fuscescens,SF8,10,10
0.5,T9,Siganus fuscescens,SF9,10,10
0.5,T9,Chaetodon kleinii,CK9,10,10
0.5,T6,Chaetodon lunulatus,CL6,10,10
0.5,T7,Chaetodon lunulatus,CL7,10,10
0.5,T8,Chaetodon lunulatus,CL8,10,10
0.5,T9,Chlorurus sordidus,CS9,10,9
0.5,T9,Chaetodon lunulatus,CL9,10,10
0.5,T10,Siganus fuscescens,SF10,10,5
0.5,T10,Chlorurus sordidus,CS10,10,8
0.5,T10,Chaetodon lunulatus,CL10,9,9
0.5,T10,Chaetodon kleinii,CK10,10,10
1,T1,Chaetodon kleinii,CK1,10,10
1,T1,Siganus fuscescens,SF1,10,10
1,T2,Siganus fuscescens,SF2,10,10
1,T2,Chaetodon kleinii,CK2,10,10
1,T1,Chlorurus sordidus,CS1,10,10
1,T3,Siganus fuscescens,SF3,10,10
1,T2,Chlorurus sordidus,CS2,10,10
1,T4,Siganus fuscescens,SF4,10,10
1,T3,Chlorurus sordidus,CS3,10,10
1,T4,Chlorurus sordidus,CS4,10,10
1,T5,Siganus fuscescens,SF5,10,10
1,T5,Chlorurus sordidus,CS5,10,10
1,T3,Chaetodon kleinii,CK3,10,10
1,T6,Siganus fuscescens,SF6,10,10
1,T6,Chlorurus sordidus,CS6,10,10
1,T1,Chaetodon lunulatus,CL1,10,10
1,T4,Chaetodon kleinii,CK4,10,10
1,T7,Siganus fuscescens,SF7,8,8
1,T2,Chaetodon lunulatus,CL2,10,10
1,T3,Chaetodon lunulatus,CL3,10,10
1,T8,Siganus fuscescens,SF8,10,10
1,T4,Chaetodon lunulatus,CL4,10,10
1,T5,Chaetodon lunulatus,CL5,10,10
1,T6,Chaetodon lunulatus,CL6,9,9
1,T9,Siganus fuscescens,SF9,10,10
1,T7,Chaetodon lunulatus,CL7,10,10
1,T8,Chaetodon lunulatus,CL8,10,10
1,T10,Siganus fuscescens,SF10,10,10
1,T9,Chaetodon lunulatus,CL9,10,10
1,T7,Chlorurus sordidus,CS7,10,10
1,T5,Chaetodon kleinii,CK5,10,10
1,T8,Chlorurus sordidus,CS8,10,10
