,Reef_2,Site,Transect,Depth_m,Habitat,Aspect,Benthic_Complexity,Diversity,Observed,Estimator,s.e.,LCL,UCL
1,Ashmore,ASHM-01,T1,31,outer_slope,moderate_slope,4,Species richness,10,13.80952381,7.733087914,10,28.96609761
2,Ashmore,ASHM-01,T2,37,outer_slope,gentle_slope,3,Species richness,5,5.583333333,2.813707363,5,11.09809843
3,Ashmore,ASHM-01,T3,38,outer_slope,gentle_slope,3,Species richness,4,5.714285714,3.047340017,4,11.6869624
4,Ashmore,ASHM-01,T7,49,outer_slope,flat,1,Species richness,1,1,0,1,1
5,Ashmore,ASHM-01,T8,43,outer_slope,moderate_slope,4,Species richness,3,3.416666667,1.333380418,3,6.030044264
6,Ashmore,ASHM-02,T1,65,outer_slope,gentle_slope,0,Species richness,1,1,0,1,1
7,Ashmore,ASHM-02,T7,37,outer_slope,wall,2,Species richness,6,16.71428571,6.804584683,6,30.05102662
8,Ashmore,ASHM-04,T1,52,outer_slope,moderate_slope,1,Species richness,2,2,0.287623491,2,2.563731684
9,Ashmore,ASHM-04,T2,45,outer_slope,steep_slope,2,Species richness,8,15.52941176,7.972445184,8,31.15511719
10,Ashmore,ASHM-04,T3,42,outer_slope,steep_slope,3,Species richness,6,11.5,4.543315853,6,20.40473544
11,Ashmore,ASHM-04,T4,38,outer_slope,steep_slope,3,Species richness,4,4,0.713449906,4,5.398336121
12,Ashmore,ASHM-04,T5,32,outer_slope,moderate_slope,3,Species richness,5,5.458333333,2.011132439,5,9.400080482
13,Ashmore,ASHM-04,T6,20,outer_slope,gentle_slope,4,Species richness,3,3,0.518059279,3,4.015377529
14,Ashmore,ASHM-04,T7,17.5,outer_slope,gentle_slope,4,Species richness,2,2,0.314466038,2,2.616342108
15,Betty Cay,BETT-01,T10,8.2,outer_slope,flat,3,Species richness,3,3.888888889,0.866292474,3,5.586790939
16,Betty Cay,BETT-01,T11,8.3,outer_slope,flat,3,Species richness,10,22.20238095,9.476876221,10,40.77671703
17,Betty Cay,BETT-01,T6,40.4,outer_slope,steep_slope,3,Species richness,2,2,0.368452949,2,2.72215451
18,Betty Cay,BETT-01,T7,32.3,outer_slope,flat,5,Species richness,2,2.333333333,1.294449863,2,4.870408445
19,Betty Cay,BETT-01,T8,21.1,outer_slope,flat,4,Species richness,2,2,0.476095229,2,2.933129501
20,Betty Cay,BETT-01,T9,12.6,outer_slope,gentle_slope,3,Species richness,2,2,0.468826172,2,2.918882413
21,Boot,BOOT-01,T1,67,outer_slope,moderate_slope,3,Species richness,2,2,0.422952585,2,2.828971833
22,Boot,BOOT-01,T2,57,outer_slope,steep_slope,3,Species richness,2,2.333333333,1.037998592,2,4.36777319
23,Bougainville,BOUG-01,T1,65,outer_slope,steep_slope,5,Species richness,1,1,0,1,1
24,Bougainville,BOUG-01,T10,20.3,outer_slope,wall,4,Species richness,1,1,0,1,1
25,Bougainville,BOUG-01,T10,54.7,outer_slope,steep_slope,5,Species richness,1,1,0,1,1
26,Bougainville,BOUG-01,T11,17.6,outer_slope,wall,3,Species richness,2,2,0.314466038,2,2.616342108
27,Bougainville,BOUG-01,T12,13.8,outer_slope,steep_slope,3,Species richness,7,20.33333333,7.302209571,7,34.6454011
28,Bougainville,BOUG-01,T12,45.5,outer_slope,steep_slope,5,Species richness,2,2.5,0.703239258,2,3.878323619
29,Bougainville,BOUG-01,T13,12.5,outer_slope,wall,4,Species richness,3,3.958333333,0.75228433,3,5.432783526
30,Bougainville,BOUG-01,T14,9.3,outer_slope,wall,3,Species richness,8,17.62962963,6.011133774,8,29.41123533
31,Bougainville,BOUG-01,T15,7.5,outer_slope,wall,2,Species richness,10,11.44,4.214765172,10,19.70078794
32,Bougainville,BOUG-01,T16,36.4,outer_slope,wall,5,Species richness,2,2.333333333,1.015171114,2,4.323032155
33,Bougainville,BOUG-01,T16,5.5,outer_slope,wall,3,Species richness,7,20.84615385,7.305978616,7,35.1656088
34,Bougainville,BOUG-01,T17,3.6,outer_slope,steep_slope,3,Species richness,15,16.48965517,3.682935011,15,23.70807515
35,Bougainville,BOUG-01,T17,35.1,outer_slope,wall,5,Species richness,3,3.833333333,1.089370642,3,5.968460557
36,Bougainville,BOUG-01,T18,28.5,outer_slope,wall,4,Species richness,1,1,0,1,1
37,Bougainville,BOUG-01,T19,22.3,outer_slope,wall,3,Species richness,1,1,0,1,1
38,Bougainville,BOUG-01,T2,66.7,outer_slope,wall,5,Species richness,2,2.5,0.708872344,2,3.889364264
39,Bougainville,BOUG-01,T4,67.8,outer_slope,wall,5,Species richness,1,1,0,1,1
40,Bougainville,BOUG-01,T4,85.7,outer_slope,wall,4,Species richness,1,1,0,1,1
41,Bougainville,BOUG-01,T5,81.9,outer_slope,steep_slope,4,Species richness,1,1,0,1,1
42,Bougainville,BOUG-01,T6,58.1,outer_slope,steep_slope,4,Species richness,3,3.833333333,1.17603114,3,6.138312013
43,Bougainville,BOUG-01,T6,76.4,outer_slope,steep_slope,4,Species richness,1,1,0,1,1
44,Bougainville,BOUG-01,T7,57.8,outer_slope,steep_slope,5,Species richness,2,2.5,0.746354778,2,3.962828484
45,Bougainville,BOUG-01,T8,57.2,outer_slope,steep_slope,5,Species richness,1,1,0,1,1
46,Bougainville,BOUG-01,T8,66.3,outer_slope,steep_slope,4,Species richness,3,4.5,2.000473429,3,8.420855873
47,Bougainville,BOUG-02,T1,67.1,outer_slope,steep_slope,3,Species richness,2,2.333333333,0.889999306,2,4.07769992
48,Bougainville,BOUG-02,T10,52.1,outer_slope,steep_slope,3,Species richness,3,4.5,1.676297929,3,7.785483569
49,Bougainville,BOUG-02,T11,47.6,outer_slope,steep_slope,3,Species richness,1,1,0,1,1
50,Bougainville,BOUG-02,T13,45.8,outer_slope,steep_slope,3,Species richness,2,2.333333333,1.249269147,2,4.781855868
51,Bougainville,BOUG-02,T14,45,outer_slope,moderate_slope,3,Species richness,1,1,0,1,1
52,Bougainville,BOUG-02,T15,44.9,outer_slope,wall,3,Species richness,1,1,0,1,1
53,Bougainville,BOUG-02,T18,33.1,outer_slope,wall,3,Species richness,1,1,0,1,1
54,Bougainville,BOUG-02,T19,32.5,outer_slope,steep_slope,3,Species richness,5,5.933333333,2.220972317,5,10.28635909
55,Bougainville,BOUG-02,T2,67.1,outer_slope,steep_slope,3,Species richness,2,2.5,0.69084928,2,3.854039707
56,Bougainville,BOUG-02,T20,31.1,outer_slope,moderate_slope,3,Species richness,11,45.10526316,20.18480915,11,84.66676212
57,Bougainville,BOUG-02,T21,28.4,outer_slope,wall,3,Species richness,4,8.5,2.231653597,4.126039324,12.87396068
58,Bougainville,BOUG-02,T22,27.3,outer_slope,wall,3,Species richness,4,6.5,2.406311117,4,11.21628313
59,Bougainville,BOUG-02,T23,24.8,outer_slope,steep_slope,3,Species richness,3,5,1.450972042,3,7.843852944
60,Bougainville,BOUG-02,T24,24.2,outer_slope,wall,3,Species richness,2,2.5,0.703239258,2,3.878323619
61,Bougainville,BOUG-02,T25,22.3,outer_slope,steep_slope,3,Species richness,7,18.25,7.803095426,7,33.543786
62,Bougainville,BOUG-02,T26,15.4,outer_slope,moderate_slope,3,Species richness,3,5,1.463725241,3,7.868848757
