Site,Depth,Coral,Non scleractinian coral,Macroalgae,Turf algae,Dead coral with Algae,"Sand, pavement, rubble",Other live,Unknowns,Branching,Meandering ridge & valleys,Massive/Thick colonies,Thin plate & crusts,Solitary/isolated/free-living,Large/day-time polyps,Column corals,NSC-Blue coral,NSC fire corals,NSC Organ pipe coral,NSC-Other,Total_points
Silaki,30m,0,0,6,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,14
Lucero,10m,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Lucero,10m,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11
Lucero,10m,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5
Lucero,10m,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Lucero,10m,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
Lucero,20m,3,0,11,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19
Lucero,20m,0,0,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Lucero,20m,0,0,6,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Lucero,30m,0,0,2,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,11
Lucero,30m,0,0,9,5,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,25
Lucero,30m,1,0,8,1,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,16
Lucero,50m,0,0,6,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,14
Lucero,50m,0,0,7,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,14
Lucero,50m,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9
Arnedo,10m,0,2,1,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,7
Arnedo,10m,1,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5
Arnedo,10m,4,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6
Arnedo,20m,1,0,2,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10
Arnedo,20m,2,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11
Arnedo,20m,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Arnedo,30m,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Arnedo,30m,0,0,0,0,9,0,3,0,0,0,0,2,0,0,0,0,0,0,0,12
Arnedo,30m,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Arnedo,50m,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Arnedo,50m,0,0,0,0,9,10,1,0,0,0,0,0,0,0,0,0,0,0,0,20
Arnedo,50m,0,1,4,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,20
Balingasay,10m,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Balingasay,10m,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5
Balingasay,10m,1,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
Balingasay,20m,4,0,1,0,9,0,1,0,0,0,4,0,0,0,0,0,0,0,0,15
Balingasay,20m,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Balingasay,20m,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Balingasay,30m,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Balingasay,30m,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Balingasay,30m,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Silaki,10m,2,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5
Silaki,10m,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Silaki,10m,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Silaki,20m,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6
Silaki,20m,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Silaki,30m,0,0,3,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,10
Silaki,30m,0,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,11
